,ID,Country,Managed By,Fulfill Via,Shipment Mode,PQ_Sent_Date,PO_Sent_Date,Scheduled Delivery Date,Delivered_Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Unit of Measure (Per Pack),Quantity,Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Insurance_USD,Freight_Cost_USD,Weight_KG,Year,Lead_Time_Days,Delivery_Delay_Days,On_Time_Flag,Procurement_Days,Reporting_Lag_Days,Freight_Cost_Per_KG,Freight_Pct_of_Value,Total_Landed_Cost,Order_Year,Order_Month,Order_Quarter,Order_Size_Category
0,1,Côte d'Ivoire,PMO - US,Direct Drop,Air,,,2006-06-02,2006-06-02,2006-06-02,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,30,19,551.0,29.0,0.97,Ranbaxy Fine Chemicals LTD,Yes,0.8815158457426497,780.34,13.0,,,0.0,True,,0.0,60.026153846153846,1.4162250453720509,1332.2215158457427,,,,Small
1,3,Vietnam,PMO - US,Direct Drop,Air,,,2006-11-14,2006-11-14,2006-11-14,ARV,Pediatric,Aurobindo Pharma Limited,240,1000,6200.0,6.2,0.03,"Aurobindo Unit III, India",Yes,9.919053073692249,4521.5,358.0,,,0.0,True,,0.0,12.629888268156424,0.7292741935483871,10731.419053073692,,,,Small
2,4,Côte d'Ivoire,PMO - US,Direct Drop,Air,,,2006-08-27,2006-08-27,2006-08-27,HRDT,HIV test,Abbott GmbH & Co. KG,100,500,40000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,63.993890798014505,1653.78,171.0,,,0.0,True,,0.0,9.671228070175438,0.0413445,41717.77389079802,,,,Small
3,15,Vietnam,PMO - US,Direct Drop,Air,,,2006-09-01,2006-09-01,2006-09-01,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),60,31920,127360.8,3.99,0.07,"Ranbaxy, Paonta Shahib, India",Yes,203.75782817869415,16007.06,1855.0,,,0.0,True,,0.0,8.629142857142856,0.12568278465587526,143571.6178281787,,,,Large
4,16,Vietnam,PMO - US,Direct Drop,Air,,,2006-08-11,2006-08-11,2006-08-11,ARV,Adult,Aurobindo Pharma Limited,60,38000,121600.0,3.2,0.05,"Aurobindo Unit III, India",Yes,194.54142802596408,45450.08,7590.0,,,0.0,True,,0.0,5.988152832674572,0.37376710526315793,167244.62142802597,,,,Large
5,23,Nigeria,PMO - US,Direct Drop,Air,,,2006-09-28,2006-09-28,2006-09-28,ARV,Pediatric,Aurobindo Pharma Limited,240,416,2225.6,5.35,0.02,"Aurobindo Unit III, India",Yes,3.5606200840015267,5920.42,504.0,,,0.0,True,,0.0,11.74686507936508,2.6601455787203454,8149.580620084002,,,,Small
6,44,Zambia,PMO - US,Direct Drop,Air,,,2007-01-08,2007-01-08,2007-01-08,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),90,135,4374.0,32.4,0.36,MSD South Granville Australia,Yes,6.997731958762886,,328.0,,,0.0,True,,0.0,,,,,,,Small
7,45,Tanzania,PMO - US,Direct Drop,Air,,,2006-11-24,2006-11-24,2006-11-24,ARV,Adult,Aurobindo Pharma Limited,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",Yes,97.32598873615883,6212.41,1478.0,,,0.0,True,,0.0,4.203254397834912,0.10211976582386159,67144.28598873617,,,,Large
8,46,Nigeria,PMO - US,Direct Drop,Air,,,2006-12-07,2006-12-07,2006-12-07,ARV,Adult,Aurobindo Pharma Limited,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",No,0.8516786941580755,4861.14,479.0,,,0.0,True,,0.0,10.148517745302716,9.131473654550577,5394.341678694159,,,,Small
9,47,Zambia,PMO - US,Direct Drop,Air,,2006-11-13,2007-01-30,2007-01-30,2007-01-30,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),120,2800,115080.0,41.1,0.34,ABBVIE (Abbott) St. P'burg USA,Yes,184.11042382588772,,643.0,2006.0,78.0,0.0,True,,0.0,,,,2006.0,11.0,4.0,Medium
10,60,Zambia,PMO - US,Direct Drop,Air,,2006-12-01,2007-02-16,2007-02-16,2007-02-16,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),120,2800,115080.0,41.1,0.34,ABBVIE Ludwigshafen Germany,Yes,184.11042382588772,,643.0,2006.0,77.0,0.0,True,,0.0,,,,2006.0,12.0,4.0,Medium
11,61,Zambia,PMO - US,Direct Drop,Air,,,2007-01-08,2007-01-08,2007-01-08,HRDT,HIV test,"Trinity Biotech, Plc",20,2500,100000.0,40.0,2.0,"Trinity Biotech, Plc",Yes,159.98472699503625,13569.49,853.0,,,0.0,True,,0.0,15.907960140679952,0.1356949,113729.47472699505,,,,Medium
12,62,Nigeria,PMO - US,Direct Drop,Air,,,2007-01-10,2007-01-10,2007-01-10,HRDT,HIV test,EY Laboratories,100,10,850.0,85.0,0.85,"EY Laboratories, USA",Yes,1.359870179457808,,,,,0.0,True,,0.0,,,,,,,Small
